                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6777,                 8.8065,                 2.1386,                0.22279,                 0.1723,                0.16433,                0.07666,                 2.6086,                 4.3065,                 1.5068,                 0.0883,                 0.0013,                 0.0013
                      1,                  3.325,                 4.0932,                 1.9628,                 0.6189,                0.26019,                0.19544,                0.06312,                 2.5504,                 2.5088,                 1.3143,               0.075694,              0.0026936,              0.0026936
                      2,                 3.3161,                 3.3417,                 1.8331,                0.55054,                0.28043,                0.21271,                0.06208,                 2.4837,                 2.3712,                  1.297,               0.063081,              0.0040807,              0.0040807
                      3,                 3.1432,                 3.1561,                 1.6648,                0.43937,                0.19698,                0.10973,                0.03296,                 2.8176,                 2.7333,                 1.4218,               0.050461,              0.0054611,              0.0054611
                      4,                 3.1526,                 3.1598,                 1.7761,                0.60253,                0.29799,                0.23056,                0.06806,                 2.7462,                 2.4177,                 1.4058,               0.037835,              0.0068349,              0.0068349
                      5,                 2.9375,                 2.8938,                 1.5533,                 0.5979,                0.27859,                 0.2029,                0.05953,                 2.8669,                  2.247,                 1.3645,               0.025202,              0.0082022,              0.0082022
                      6,                 3.0916,                 2.8005,                  1.612,                0.59086,                0.33552,                0.24379,                0.08283,                 2.9046,                 2.5046,                 1.4567,               0.012563,              0.0095628,              0.0095628
                      7,                  2.927,                 2.9343,                 1.5393,                0.61918,                0.29497,                0.24906,                0.07538,                 2.7308,                  2.432,                 1.3828,               0.009835,               0.009835,               0.009835
                      8,                 3.0201,                 2.7527,                 1.6451,                0.47482,                0.26496,                0.22041,                 0.0782,                 2.7624,                 2.5718,                 1.3743,               0.009835,               0.009835,               0.009835
                      9,                 3.1064,                  2.782,                 1.5978,                0.66249,                0.24906,                0.18986,                0.04986,                 3.1324,                 2.4906,                 1.4447,              0.0098114,              0.0098114,              0.0098114
                     10,                 2.9171,                 2.8335,                 1.6606,                0.25149,                0.34864,                0.24523,                 0.0797,                 2.7011,                 2.2243,                 1.3824,              0.0097879,              0.0097879,              0.0097879
                     11,                 2.8838,                 2.7026,                 1.5785,                0.41134,                0.31684,                0.06176,                0.02079,                 2.8935,                  6.063,                 1.4049,              0.0097643,              0.0097643,              0.0097643
                     12,                 2.9227,                 2.8216,                 1.5707,                 0.1002,                0.28191,                0.07073,                0.01936,                 2.9872,                 3.1005,                 1.4516,              0.0097407,              0.0097407,              0.0097407
                     13,                 2.8093,                 2.5996,                 1.5593,                0.04581,                0.28742,                 0.0427,                0.01276,                  2.997,                 13.449,                 1.4302,              0.0097171,              0.0097171,              0.0097171
                     14,                 2.8006,                 2.4752,                 1.5308,                0.00925,                0.28344,                0.00641,                0.00223,                 3.1346,                  152.5,                  1.645,              0.0096936,              0.0096936,              0.0096936
                     15,                 2.8732,                 2.4874,                 1.5556,                0.10258,                0.39992,                0.07267,                0.01957,                 2.9272,                 9.0833,                 1.5219,                0.00967,                0.00967,                0.00967
