                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.1652,                  1.605,                 1.1927,                0.43452,                0.46432,                0.43333,                0.16313,                 2.3465,                 2.1953,                 1.2439,               0.006733,               0.006733,               0.006733
                     35,                 2.2282,                 1.7254,                 1.3613,                0.44755,                0.45657,                0.43818,                0.19593,                 2.2332,                 2.0572,                 1.2565,               0.006634,               0.006634,               0.006634
                     36,                 2.2019,                 1.5868,                 1.3238,                0.42768,                0.48062,                0.44433,                0.18982,                 2.3213,                 1.7792,                 1.2681,               0.006535,               0.006535,               0.006535
                     37,                 2.1102,                 1.8899,                  1.411,                0.43717,                0.44575,                0.43069,                0.18905,                 2.2896,                 1.7417,                 1.2757,               0.006436,               0.006436,               0.006436
                     38,                 2.1865,                 1.6589,                 1.2905,                0.44595,                0.44844,                0.44336,                0.18886,                 2.3745,                 1.7097,                  1.298,               0.006337,               0.006337,               0.006337
                     39,                 2.2271,                 1.7273,                 1.2764,                0.46149,                0.44406,                0.45196,                0.18391,                 2.3406,                 1.7897,                 1.2841,               0.006238,               0.006238,               0.006238
                     40,                 2.0665,                 1.7865,                 1.3405,                0.42671,                0.45736,                0.42584,                 0.1876,                 2.3428,                 1.8544,                  1.266,               0.006139,               0.006139,               0.006139
                     41,                 2.0227,                 1.4984,                 1.2379,                0.46224,                0.48266,                0.44924,                0.18611,                 2.2397,                 1.9496,                 1.2151,                0.00604,                0.00604,                0.00604
                     42,                 2.1201,                 1.7758,                 1.3376,                0.48569,                0.47491,                 0.4327,                0.18934,                 2.2475,                 1.7672,                 1.2375,               0.005941,               0.005941,               0.005941
                     43,                 2.1139,                 1.6399,                 1.2603,                0.46143,                0.43679,                0.43766,                0.17097,                 2.3551,                 1.8818,                 1.2383,               0.005842,               0.005842,               0.005842
                     44,                 2.0627,                 1.5241,                 1.2745,                0.50484,                0.47207,                0.46068,                0.17754,                 2.3137,                 1.8218,                 1.2138,               0.005743,               0.005743,               0.005743
                     45,                 2.0877,                 1.6915,                 1.3345,                0.51783,                0.48266,                0.46871,                0.19569,                 2.1822,                 1.8132,                 1.2284,               0.005644,               0.005644,               0.005644
                     46,                 1.9996,                   1.56,                  1.297,                 0.5407,                0.48766,                0.48626,                0.19062,                 2.2959,                 1.9579,                 1.3005,               0.005545,               0.005545,               0.005545
                     47,                  2.153,                 1.5349,                 1.2665,                0.55478,                 0.4842,                0.49368,                0.20378,                 2.2377,                 1.6448,                 1.2852,               0.005446,               0.005446,               0.005446
                     48,                 2.1961,                 1.5733,                 1.2677,                0.50821,                0.47803,                0.47307,                0.17636,                 2.3072,                 1.7034,                 1.2599,               0.005347,               0.005347,               0.005347
