                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6777,                 8.8065,                 2.1386,                0.22279,                 0.1723,                0.16433,                0.07666,                 2.6086,                 4.3065,                 1.5068,                 0.0883,                 0.0013,                 0.0013
                      1,                 3.3498,                 4.0944,                 1.9608,                0.58951,                0.26635,                0.20193,                0.06583,                 2.5918,                 2.7482,                 1.3316,               0.075697,              0.0026967,              0.0026967
                      2,                 3.3482,                 3.4785,                 1.8672,                0.53243,                 0.2904,                0.18128,                0.05702,                 2.6366,                 2.4066,                 1.3131,                0.06309,              0.0040901,              0.0040901
                      3,                 3.1926,                 3.1785,                 1.6989,                0.61734,                0.28662,                0.18566,                0.05977,                 2.7174,                 2.3839,                  1.358,                0.05048,              0.0054801,              0.0054801
                      4,                 3.3051,                 3.3022,                 1.8122,                0.54434,                0.16995,                0.16636,                0.05188,                 2.8581,                 2.5068,                 1.3974,               0.037867,              0.0068667,              0.0068667
                      5,                 3.0603,                 2.9949,                 1.6099,                0.39988,                0.11111,                0.07725,                0.02079,                 3.3102,                 3.0343,                 1.5467,                0.02525,              0.0082499,              0.0082499
                      6,                 3.2216,                 2.9827,                 1.6581,                0.21949,                0.23767,                0.20847,                0.06698,                 2.9268,                 2.4096,                 1.3956,                0.01263,              0.0096297,              0.0096297
                      7,                 3.0393,                 2.8602,                 1.6003,                0.54368,                0.24389,                0.17551,                 0.0489,                 2.8417,                 6.0851,                 1.3656,              0.0099155,              0.0099155,              0.0099155
                      8,                 3.0092,                 2.8478,                 1.6532,                0.48322,                0.17949,                0.15043,                0.05608,                 2.9954,                 8.3793,                 1.5201,              0.0099155,              0.0099155,              0.0099155
                      9,                 3.1252,                 2.8182,                 1.6547,                0.24969,                0.31226,                0.28372,                0.08948,                 2.8252,                 2.0863,                 1.4197,              0.0099034,              0.0099034,              0.0099034
                     10,                 2.9497,                 2.8947,                 1.6863,                0.60087,                0.29278,                0.25244,                0.06761,                 2.8675,                 2.2441,                  1.419,              0.0098913,              0.0098913,              0.0098913
                     11,                 2.9737,                 2.7083,                  1.604,                 0.6973,                0.25613,                0.24982,                0.07322,                 2.7525,                 2.6373,                 1.3721,              0.0098793,              0.0098793,              0.0098793
                     12,                 3.0007,                 2.8924,                 1.6466,                 0.8937,                0.21368,                0.25599,                0.06468,                 3.0444,                 2.7822,                 1.4264,              0.0098672,              0.0098672,              0.0098672
                     13,                 2.9896,                 2.7502,                 1.6707,                 0.1912,                0.31147,                0.22255,                0.07467,                 2.8898,                 2.5849,                 1.4291,              0.0098551,              0.0098551,              0.0098551
                     14,                 2.8256,                 2.6471,                 1.5504,                0.41429,                0.31067,                0.08124,                0.02094,                 2.8272,                 3.2112,                 1.3898,               0.009843,               0.009843,               0.009843
                     15,                  2.952,                 2.5573,                 1.5654,                 0.2261,                0.33951,                0.21459,                0.05836,                  2.851,                 3.2046,                 1.4123,               0.009831,               0.009831,               0.009831
                     16,                 2.8216,                  2.427,                 1.4827,                0.27351,                 0.3116,                0.29099,                0.09253,                 2.8704,                 2.3627,                 1.4665,              0.0098189,              0.0098189,              0.0098189
                     17,                 2.8384,                 2.4243,                 1.5299,                0.60029,                 0.2749,                0.26207,                 0.0728,                 3.0028,                 2.4331,                 1.5117,              0.0098068,              0.0098068,              0.0098068
