                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     18,                 2.8892,                 2.5226,                 1.5744,                 0.2212,                0.31707,                0.19551,                0.06019,                  2.828,                 3.2392,                 1.3622,              0.0097948,              0.0097948,              0.0097948
                     19,                 2.7363,                 2.4361,                 1.5595,                0.18707,                0.33373,                0.19867,                0.06251,                 2.8273,                 2.5946,                 1.3777,              0.0097827,              0.0097827,              0.0097827
                     20,                 2.9545,                  2.547,                 1.5144,                0.25613,                0.33824,                0.26821,                0.07908,                 2.8096,                 2.4873,                  1.342,              0.0097706,              0.0097706,              0.0097706
                     21,                 2.8253,                  2.383,                 1.5213,                 0.2479,                0.40986,                0.27048,                 0.1032,                 2.6816,                 2.2847,                 1.4276,              0.0097585,              0.0097585,              0.0097585
                     22,                  2.758,                 2.3486,                 1.5683,                0.29304,                 0.3556,                0.29264,                0.09855,                 2.7918,                 2.4024,                 1.3779,              0.0097465,              0.0097465,              0.0097465
                     23,                 2.7852,                 2.4081,                 1.5458,                0.60513,                0.35711,                0.25205,                 0.0795,                 2.7972,                 2.1353,                 1.4733,              0.0097344,              0.0097344,              0.0097344
                     24,                 2.8729,                 2.3523,                 1.5274,                0.30703,                0.29612,                0.28145,                0.09184,                 2.8284,                 2.1594,                 1.5178,              0.0097223,              0.0097223,              0.0097223
                     25,                 2.8365,                 2.3036,                 1.4547,                0.29175,                0.32132,                0.29268,                0.11221,                 2.8299,                 2.2424,                 1.4292,              0.0097102,              0.0097102,              0.0097102
                     26,                 2.6743,                 2.3138,                 1.4804,                0.27007,                0.33451,                0.22771,                0.07613,                 2.6375,                   2.43,                 1.3383,              0.0096982,              0.0096982,              0.0096982
                     27,                 2.6213,                 2.2472,                 1.4882,                0.18672,                0.35386,                0.22474,                0.07696,                 2.7191,                 2.2523,                 1.4719,              0.0096861,              0.0096861,              0.0096861
                     28,                 2.6534,                 2.1477,                 1.5331,                0.24636,                0.31684,                0.22652,                0.06985,                 2.8903,                 2.1815,                 1.4498,               0.009674,               0.009674,               0.009674
                     29,                 2.6576,                 2.1419,                 1.5493,                0.28472,                0.37712,                0.28221,                0.09315,                 2.8243,                 2.2202,                 1.3876,               0.009662,               0.009662,               0.009662
                     30,                 2.7263,                 2.1721,                 1.5044,                0.30269,                0.37521,                0.29072,                0.08726,                 2.8118,                 2.2152,                 1.3704,              0.0096499,              0.0096499,              0.0096499
                     31,                  2.822,                 2.2556,                 1.5075,                 0.3129,                 0.3711,                0.29327,                0.08778,                  2.836,                 2.2393,                 1.3911,              0.0096378,              0.0096378,              0.0096378
                     32,                 2.7501,                 2.2033,                 1.4153,                0.29971,                0.32677,                0.27277,                0.08754,                 2.6515,                 2.1894,                 1.3545,              0.0096257,              0.0096257,              0.0096257
                     33,                 2.6601,                 2.0915,                 1.4141,                 0.2462,                0.38353,                 0.3063,                0.09608,                   2.65,                 2.4575,                 1.4023,              0.0096137,              0.0096137,              0.0096137
                     34,                 2.6959,                 2.1144,                 1.4707,                0.31388,                0.33577,                0.33637,                0.10159,                 2.6576,                 2.2259,                 1.5064,              0.0096016,              0.0096016,              0.0096016
                     35,                   2.67,                 2.0988,                 1.4401,                0.28592,                0.36451,                0.28743,                0.10212,                  2.646,                 2.0487,                 1.4313,              0.0095895,              0.0095895,              0.0095895
                     36,                  2.707,                 2.1058,                 1.4544,                0.33008,                0.36607,                0.27897,                0.09591,                 2.7394,                 2.0008,                 1.4611,              0.0095774,              0.0095774,              0.0095774
                     37,                 2.6166,                 2.0608,                 1.4231,                0.32535,                0.40335,                0.30042,                0.08724,                 2.7938,                 2.1126,                 1.4532,              0.0095654,              0.0095654,              0.0095654
                     38,                 2.6733,                 2.0963,                 1.4282,                0.27725,                0.37771,                 0.2466,                0.08698,                 2.6048,                 2.1162,                 1.3829,              0.0095533,              0.0095533,              0.0095533
                     39,                 2.6253,                 2.1219,                 1.4961,                0.67095,                0.32916,                0.30169,                0.09037,                 2.8136,                 2.1083,                 1.4085,              0.0095412,              0.0095412,              0.0095412
                     40,                   2.68,                 2.0557,                 1.4225,                0.38763,                 0.3445,                0.34925,                0.12562,                 2.6356,                 1.9388,                 1.3813,              0.0095291,              0.0095291,              0.0095291
                     41,                 2.5632,                 2.0709,                 1.4763,                0.41788,                0.36335,                0.38565,                0.13401,                 2.6676,                  2.047,                 1.4073,              0.0095171,              0.0095171,              0.0095171
                     42,                 2.5699,                 2.0852,                 1.4174,                0.31627,                0.37366,                0.30646,                0.10265,                 2.7345,                 2.1664,                 1.3974,               0.009505,               0.009505,               0.009505
                     43,                 2.5606,                  2.051,                 1.3881,                 0.3297,                0.36573,                0.32222,                0.11497,                 2.6853,                 2.1615,                 1.4774,              0.0094929,              0.0094929,              0.0094929
                     44,                 2.3997,                 1.9901,                  1.447,                0.35093,                0.37189,                0.32312,                0.10661,                 2.7326,                 2.0725,                 1.4604,              0.0094809,              0.0094809,              0.0094809
                     45,                 2.5606,                 2.0069,                 1.3643,                0.34796,                0.43629,                0.34086,                0.11297,                 2.5518,                 2.1392,                 1.3938,              0.0094688,              0.0094688,              0.0094688
                     46,                 2.5472,                 1.9147,                 1.3488,                0.29411,                0.35662,                0.23469,                0.07743,                 2.6117,                 2.2322,                  1.306,              0.0094567,              0.0094567,              0.0094567
                     47,                 2.4597,                 1.9465,                 1.3579,                 0.2102,                 0.4355,                0.19556,                0.06909,                 2.5229,                 2.6173,                 1.2633,              0.0094446,              0.0094446,              0.0094446
                     48,                 2.4196,                 1.8793,                 1.3524,                0.32678,                 0.4152,                 0.2791,                0.09304,                   2.59,                 2.2687,                 1.2743,              0.0094326,              0.0094326,              0.0094326
                     49,                 2.5399,                  1.895,                 1.3681,                0.31775,                 0.4274,                0.29706,                 0.0824,                 2.7624,                 2.2469,                 1.3301,              0.0094205,              0.0094205,              0.0094205
                     50,                 2.4147,                 1.8592,                 1.3008,                0.37995,                 0.3948,                0.33956,                0.11342,                 2.6292,                 2.2266,                 1.3128,              0.0094084,              0.0094084,              0.0094084
                     51,                 2.4383,                 1.8436,                 1.3626,                0.41652,                 0.3828,                0.33644,                0.11634,                 2.6214,                 2.1371,                  1.353,              0.0093963,              0.0093963,              0.0093963
                     52,                 2.3967,                 1.8915,                 1.3504,                0.26456,                0.40415,                0.29273,                0.09313,                 2.7095,                 2.1512,                 1.4179,              0.0093843,              0.0093843,              0.0093843
                     53,                 2.3262,                 1.8456,                 1.3281,                0.25614,                0.44495,                0.27745,                0.09167,                 2.6042,                 1.9205,                 1.4442,              0.0093722,              0.0093722,              0.0093722
                     54,                 2.4916,                 1.8146,                 1.3096,                0.34999,                0.40539,                0.33753,                0.10308,                 2.6379,                  1.915,                 1.4109,              0.0093601,              0.0093601,              0.0093601
                     55,                 2.3185,                  1.771,                  1.329,                0.36185,                0.45384,                0.33037,                0.10742,                 2.6496,                  1.988,                 1.3729,               0.009348,               0.009348,               0.009348
                     56,                 2.4282,                 1.9464,                 1.3334,                 0.3188,                0.38873,                0.30654,                 0.0993,                 2.6012,                 2.0693,                 1.3847,               0.009336,               0.009336,               0.009336
                     57,                 2.3353,                 1.8059,                 1.3073,                0.31758,                 0.4016,                 0.3358,                0.10153,                 2.6871,                 1.9375,                 1.4181,              0.0093239,              0.0093239,              0.0093239
                     58,                 2.3663,                  1.787,                 1.2897,                0.36293,                0.39176,                0.32478,                0.10984,                 2.7347,                 1.9782,                 1.3868,              0.0093118,              0.0093118,              0.0093118
                     59,                 2.4329,                  1.787,                   1.32,                0.39815,                0.38016,                0.31519,                0.09218,                 2.6888,                 2.0534,                 1.3916,              0.0092998,              0.0092998,              0.0092998
                     60,                 2.3435,                 1.7894,                 1.2942,                0.30509,                0.39023,                0.28793,                0.09793,                 2.5785,                 2.1061,                  1.388,              0.0092877,              0.0092877,              0.0092877
                     61,                 2.3536,                 1.7509,                 1.3362,                0.46119,                0.44293,                0.38793,                0.12833,                 2.5406,                 1.9891,                 1.3855,              0.0092756,              0.0092756,              0.0092756
                     62,                 2.3872,                  1.797,                 1.3338,                0.35447,                0.38248,                0.33632,                0.11782,                 2.5927,                 2.1342,                 1.3985,              0.0092635,              0.0092635,              0.0092635
                     63,                 2.3178,                 1.7505,                 1.3465,                 0.3077,                0.38016,                0.33416,                0.10919,                 2.6404,                 2.0462,                 1.3953,              0.0092515,              0.0092515,              0.0092515
                     64,                 2.3228,                 1.7878,                 1.3096,                0.35595,                0.34895,                 0.3055,                0.10483,                 2.6409,                 2.1728,                 1.4336,              0.0092394,              0.0092394,              0.0092394
                     65,                 2.1881,                 1.7542,                 1.3289,                0.37317,                0.40516,                0.32233,                0.11027,                 2.6882,                  1.846,                 1.4641,              0.0092273,              0.0092273,              0.0092273
                     66,                 2.2213,                 1.6764,                 1.3235,                0.35281,                0.37979,                0.32652,                0.11364,                 2.6658,                  1.833,                 1.4066,              0.0092152,              0.0092152,              0.0092152
                     67,                 2.3672,                  1.753,                 1.2659,                0.27939,                0.32948,                0.25984,                0.08128,                  2.739,                 1.9448,                 1.4288,              0.0092032,              0.0092032,              0.0092032
                     68,                 2.2152,                 1.6197,                 1.2291,                0.26858,                0.31317,                0.26484,                0.08487,                 2.8269,                 2.0225,                 1.4792,              0.0091911,              0.0091911,              0.0091911
                     69,                 2.3636,                 1.7201,                 1.3282,                0.34812,                0.34803,                0.30994,                0.11824,                 2.6549,                 1.9836,                 1.3713,               0.009179,               0.009179,               0.009179
                     70,                 2.3894,                 1.7755,                 1.2893,                0.34787,                0.34223,                0.35141,                0.12946,                 2.6269,                 1.8842,                 1.3895,               0.009167,               0.009167,               0.009167
                     71,                 2.2772,                 1.6622,                 1.3124,                0.35885,                0.32459,                0.32827,                0.11515,                 2.7039,                 1.8214,                 1.4478,              0.0091549,              0.0091549,              0.0091549
                     72,                 2.3268,                 1.7384,                 1.3172,                0.35761,                0.35764,                0.31533,                 0.1208,                 2.6708,                 1.9737,                 1.3914,              0.0091428,              0.0091428,              0.0091428
                     73,                 2.2777,                 1.6582,                 1.2473,                0.43617,                0.38248,                0.33726,                0.12136,                 2.6951,                 1.9017,                 1.4691,              0.0091307,              0.0091307,              0.0091307
                     74,                 2.2833,                 1.6444,                  1.255,                0.37631,                0.41349,                0.34491,                0.12105,                  2.767,                 1.8378,                 1.4756,              0.0091187,              0.0091187,              0.0091187
                     75,                 2.2668,                  1.618,                 1.2351,                0.34895,                0.36325,                0.34023,                0.12645,                 2.6904,                  1.942,                 1.4272,              0.0091066,              0.0091066,              0.0091066
                     76,                  2.229,                   1.62,                 1.2892,                0.34237,                0.34134,                0.31715,                0.11645,                  2.727,                 2.0268,                 1.4001,              0.0090945,              0.0090945,              0.0090945
                     77,                 2.1209,                 1.5708,                 1.3067,                 0.3459,                0.37665,                0.27987,                0.09666,                 2.6341,                  2.185,                  1.335,              0.0090824,              0.0090824,              0.0090824
                     78,                 2.2397,                 1.6391,                 1.2906,                0.36319,                0.41757,                0.30546,                0.10784,                 2.6888,                 2.0284,                  1.328,              0.0090704,              0.0090704,              0.0090704
                     79,                 2.2139,                 1.6116,                 1.2653,                0.26924,                 0.3507,                0.28413,                0.10151,                 2.7235,                 1.8441,                 1.3928,              0.0090583,              0.0090583,              0.0090583
                     80,                 2.2666,                 1.6307,                 1.2383,                0.34089,                0.34605,                0.31443,                0.10715,                 2.7309,                 1.9189,                 1.3822,              0.0090462,              0.0090462,              0.0090462
                     81,                 2.2204,                 1.6151,                 1.2964,                0.35477,                0.35366,                0.30025,                  0.107,                  2.654,                 2.0112,                  1.386,              0.0090341,              0.0090341,              0.0090341
                     82,                 2.2661,                 1.6171,                 1.2633,                0.35578,                0.35366,                0.32426,                0.10812,                 2.6777,                 1.9973,                 1.3867,              0.0090221,              0.0090221,              0.0090221
                     83,                 2.2282,                 1.6248,                 1.2357,                0.28991,                0.35242,                  0.349,                0.11029,                 2.7024,                 1.9902,                 1.4054,                0.00901,                0.00901,                0.00901
                     84,                 2.2034,                 1.6106,                  1.286,                0.37752,                0.39719,                0.36299,                0.10245,                  2.817,                 2.0061,                 1.4457,              0.0089979,              0.0089979,              0.0089979
                     85,                 2.1892,                 1.5437,                 1.2448,                0.39542,                0.35661,                0.34118,                0.09929,                 2.8114,                 1.8708,                 1.4951,              0.0089859,              0.0089859,              0.0089859
                     86,                 2.2816,                 1.6194,                 1.2091,                 0.3687,                0.40775,                0.33823,                0.09294,                 2.7792,                 1.8124,                 1.4757,              0.0089738,              0.0089738,              0.0089738
                     87,                 2.2351,                 1.6002,                 1.2288,                0.33228,                 0.3956,                0.34212,                0.10429,                 2.8114,                 1.8864,                 1.4323,              0.0089617,              0.0089617,              0.0089617
                     88,                 2.2342,                 1.6163,                 1.2545,                0.33538,                0.38944,                0.30823,                0.10955,                 2.6918,                 1.8028,                 1.5019,              0.0089496,              0.0089496,              0.0089496
                     89,                 2.2265,                 1.5637,                 1.2216,                0.25926,                0.42505,                0.24555,                0.07945,                 2.7557,                  1.889,                 1.4301,              0.0089376,              0.0089376,              0.0089376
                     90,                 2.0255,                 1.4544,                 1.2073,                0.27986,                0.38875,                0.24061,                0.07254,                  2.754,                  1.831,                 1.3936,              0.0089255,              0.0089255,              0.0089255
                     91,                 2.1935,                 1.5568,                 1.2879,                0.28593,                0.36407,                0.26154,                0.07811,                 2.7511,                 2.0019,                 1.4812,              0.0089134,              0.0089134,              0.0089134
